Fishery,District,RACE_Code,Sex,Size_Grp,Sampfrac_Num_Crab
KS18,KSW,68560,2,170,1
MS18,C,68560,1,31,1
MS18,C,68560,1,92,7.9
MS18,C,68560,1,95,7.9
MS18,C,68560,1,100,7.9
MS18,C,68560,1,114,7.9
MS18,C,68560,1,115,7.9
MS18,C,68560,2,34,1
MS18,C,68560,2,53,1
MS18,C,68560,2,68,7.9
MS18,C,68560,2,72,7.9
MS18,C,68560,2,76,7.9
MS18,C,68560,2,87,7.9
MS18,C,68560,2,102,7.9
MS18,UB,68560,1,18,1
MS18,UB,68560,1,23,1
MS18,UB,68560,1,23,1
MS18,UB,68560,1,29,1
MS18,UB,68560,1,30,1
MS18,UB,68560,1,30,1
MS18,UB,68560,1,30,1
MS18,UB,68560,1,30,1
MS18,UB,68560,1,30,1
MS18,UB,68560,1,31,1
MS18,UB,68560,1,35,1
MS18,UB,68560,1,35,1
MS18,UB,68560,1,37,1
MS18,UB,68560,1,38,1
MS18,UB,68560,1,38,1
MS18,UB,68560,1,40,1
MS18,UB,68560,1,42,14.5
MS18,UB,68560,1,42,1
MS18,UB,68560,1,43,1
MS18,UB,68560,1,43,1
MS18,UB,68560,1,45,1
MS18,UB,68560,1,46,1
MS18,UB,68560,1,46,1
MS18,UB,68560,1,47,1
MS18,UB,68560,1,50,1.8
MS18,UB,68560,1,50,4
MS18,UB,68560,1,51,4
MS18,UB,68560,1,51,1
MS18,UB,68560,1,52,4
MS18,UB,68560,1,54,1
MS18,UB,68560,1,55,1
MS18,UB,68560,1,55,1
MS18,UB,68560,1,56,1.3
MS18,UB,68560,1,56,1
MS18,UB,68560,1,56,1.8
MS18,UB,68560,1,57,4
MS18,UB,68560,1,59,1
MS18,UB,68560,1,59,4
MS18,UB,68560,1,59,1
MS18,UB,68560,1,60,1.8
MS18,UB,68560,1,60,1
MS18,UB,68560,1,60,1.3
MS18,UB,68560,1,60,4
MS18,UB,68560,1,61,1.3
MS18,UB,68560,1,61,1
MS18,UB,68560,1,61,1
MS18,UB,68560,1,61,4
MS18,UB,68560,1,62,1.3
MS18,UB,68560,1,62,1
MS18,UB,68560,1,62,4
MS18,UB,68560,1,63,1.3
MS18,UB,68560,1,64,1.3
MS18,UB,68560,1,66,1
MS18,UB,68560,1,68,1.8
MS18,UB,68560,1,70,1.8
MS18,UB,68560,1,70,1.3
MS18,UB,68560,1,73,1.8
MS18,UB,68560,1,83,1
MS18,UB,68560,1,95,1
MS18,UB,68560,1,96,14.5
MS18,UB,68560,1,105,14.5
MS18,UB,68560,2,18,1
MS18,UB,68560,2,22,1
MS18,UB,68560,2,27,1
MS18,UB,68560,2,29,1
MS18,UB,68560,2,29,1
MS18,UB,68560,2,32,1
MS18,UB,68560,2,32,1
MS18,UB,68560,2,33,1
MS18,UB,68560,2,40,1
MS18,UB,68560,2,44,1
MS18,UB,68560,2,44,1
MS18,UB,68560,2,45,1
MS18,UB,68560,2,48,1
MS18,UB,68560,2,49,14.5
MS18,UB,68560,2,51,1
MS18,UB,68560,2,52,1
MS18,UB,68560,2,53,1.8
MS18,UB,68560,2,53,1.3
MS18,UB,68560,2,55,14.5
MS18,UB,68560,2,55,14.5
MS18,UB,68560,2,56,1.8
MS18,UB,68560,2,56,14.5
MS18,UB,68560,2,57,1
MS18,UB,68560,2,57,1.8
MS18,UB,68560,2,58,4
MS18,UB,68560,2,58,1
MS18,UB,68560,2,58,1
MS18,UB,68560,2,59,1.3
MS18,UB,68560,2,60,1
MS18,UB,68560,2,60,1
MS18,UB,68560,2,60,4
MS18,UB,68560,2,61,1.8
MS18,UB,68560,2,61,1
MS18,UB,68560,2,63,1
MS18,UB,68560,2,64,14.5
MS18,UB,68560,2,64,1
MS18,UB,68560,2,66,1.3
MS18,UB,68560,2,67,14.5
MS18,UB,68560,2,68,1
MS18,UB,68560,2,77,1
MS18,UB,68560,2,89,14.5
OS18,O,68560,1,60,2.4
OS18,O,68560,1,63,2.4
OS18,O,68560,1,64,2.4
OS18,O,68560,1,70,2.4
OS18,O,68560,1,71,2.4
OS18,O,68560,1,74,2.4
OS18,O,68560,1,74,2.4
OS18,O,68560,1,75,2.4
OS18,O,68560,1,75,2.4
OS18,O,68560,2,71,2.4
OS18,O,68560,2,71,1
OS18,O,68560,2,72,1
QS18,Q,68541,1,55,1.6
QS18,Q,68541,1,69,1
QS18,Q,68541,1,69,1
QS18,Q,68541,1,71,1
QS18,Q,68541,1,71,1
QS18,Q,68541,1,74,1.6
QS18,Q,68541,1,76,1
QS18,Q,68541,1,77,1
QS18,Q,68541,1,78,1
QS18,Q,68541,1,78,1
QS18,Q,68541,1,78,1
QS18,Q,68541,1,78,1
QS18,Q,68541,1,78,1
QS18,Q,68541,1,79,1
QS18,Q,68541,1,79,1
QS18,Q,68541,1,79,1
QS18,Q,68541,1,79,1
QS18,Q,68541,1,80,1
QS18,Q,68541,1,80,1
QS18,Q,68541,1,81,1
QS18,Q,68541,1,82,1
QS18,Q,68541,1,82,1
QS18,Q,68541,1,83,1
QS18,Q,68541,1,84,1
QS18,Q,68541,1,85,1
QS18,Q,68541,1,85,1
QS18,Q,68541,1,85,1
QS18,Q,68541,1,85,1
QS18,Q,68541,1,86,1
QS18,Q,68541,1,86,1
QS18,Q,68541,1,86,1
QS18,Q,68541,1,86,1
